Cep,Endereço,Lat,Lng
58400115,Rua Alexandrino Cavalcanti Belo - Centro - Campina Grande - PB,-7.216620799999999,-35.88334460000001
Nan,Nan,Nan,Nan
58400117,Rua João Alves de Oliveira - Centro - Campina Grande - PB,-7.214922400000001,-35.883869
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400120,Rua João Leôncio - Centro - Campina Grande - PB,-7.215249999999999,-35.8847192
Nan,Nan,Nan,Nan
58400122,Rua Sandra Borborema - Centro - Campina Grande - PB,-7.215035699999999,-35.8847235
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400126,Rua Vigolvino Wanderley - Centro - Campina Grande - PB,-7.213883600000001,-35.8849458
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400130,Avenida Cajazeiras - Centro - Campina Grande - PB,-7.2143272,-35.8832524
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400133,Rua Prefeito Ernani Lauritzen - Centro - Campina Grande - PB,-7.215571199999999,-35.8822693
Nan,Nan,Nan,Nan
58400135,Rua Júlia Barreto de Melo - Centro - Campina Grande - PB,-7.2167131,-35.8813438
Nan,Nan,Nan,Nan
58400137,Rua Governador Agamenon Magalhães - Centro - Campina Grande - PB,-7.2137656,-35.881804
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400140,Rua Cristiano Lauritzen - Centro - Campina Grande - PB,-7.2240154,-35.8816943
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400143,Rua Peregrino de Carvalho - Centro - Campina Grande - PB,-7.2175663,-35.8814012
58400144,Praça Rosil Cavalcanti - Centro - Campina Grande - PB,-7.2232663,-35.8886192
58400145,Rua Conselheiro Eufrasino Barbosa Pontes - Centro - Campina Grande - PB,-7.2181078,-35.88192859999999
Nan,Nan,Nan,Nan
58400147,Rua Euclides Vilar - Centro - Campina Grande - PB,-7.2171673,-35.88121
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400150,Rua Tavares Cavalcante - Centro - Campina Grande - PB,-7.217731699999999,-35.8772405
Nan,Nan,Nan,Nan
58400152,Rua Estelita Cruz - Centro - Campina Grande - PB,-7.2142167,-35.8809233
Nan,Nan,Nan,Nan
58400154,Praça Lino de Oliveira Cavalcante - Centro - Campina Grande - PB,-7.214922400000001,-35.883869
Nan,Nan,Nan,Nan
58400156,Rua Vereador Artur Villarim - Centro - Campina Grande - PB,-7.2164515,-35.8796472
Nan,Nan,Nan,Nan
58400158,Avenida Janúncio Ferreira - Centro - Campina Grande - PB,-7.215724,-35.8796017
Nan,Nan,Nan,Nan
58400160,Praça Poeta Augusto dos Anjos - Centro - Campina Grande - PB,-7.217403900000001,-35.8870688
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400165,Avenida Marechal Floriano Peixoto - Centro - Campina Grande - PB,-7.2196544,-35.8844244
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400170,Rua Santa Clara - Centro - Campina Grande - PB,-7.2219648,-35.89054429999999
58400171,Parque Evaldo Cruz - Centro - Campina Grande - PB,-7.2219412,-35.8891921
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400180,Avenida Marechal Floriano Peixoto - Centro - Campina Grande - PB,-7.2196544,-35.8844244
Nan,Nan,Nan,Nan
58400182,Rua Manoel Elias - Centro - Campina Grande - PB,-7.2027714,-35.8825859
58400183,Travessa Capitão João de Sá - Centro - Campina Grande - PB,-7.219813299999999,-35.8761928
Nan,Nan,Nan,Nan
58400185,Rua Tavares Cavalcante - Centro - Campina Grande - PB,-7.217731699999999,-35.8772405
Nan,Nan,Nan,Nan
58400187,Rua Deputado José Tavares - Centro - Campina Grande - PB,-7.2181796,-35.8786288
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400190,Rua Marcílio Dias - Centro - Campina Grande - PB,-7.218397699999999,-35.8773161
Nan,Nan,Nan,Nan
